B11,B2,B3,B4,B8,Label
20,257,321,157,26,4
3817,2078,2184,2282,2230,3
1751,571,688,781,1166,0
4069,882,1114,1576,2474,0
2944,684,828,1070,1636,1
2462,701,885,1188,1779,1
20,263,375,210,34,4
237,526,603,428,474,4
1111,472,593,412,1798,2
1926,588,617,702,1148,3
19,251,328,157,26,4
26,229,313,160,26,4
24,280,372,209,34,4
3023,766,936,1220,1892,1
2134,1150,1278,1478,1922,3
31,270,388,213,47,4
193,443,511,346,379,4
17,253,343,151,23,4
2197,1036,1364,1264,1607,3
205,470,544,421,402,4
1527,443,608,433,2442,2
2332,576,810,926,2177,1
1168,486,619,416,2098,2
175,503,584,428,452,4
28,251,277,133,72,4
1393,383,484,364,2000,2
1783,357,599,438,2443,0
19,278,304,139,43,4
1973,351,633,480,2443,0
1865,1066,984,1144,1498,3
2267,1300,1334,1380,1662,3
1498,582,684,698,1606,0
2114,505,583,747,1326,1
3216,749,942,1268,2105,1
19,254,320,158,28,4
2870,708,885,1200,1943,1
1721,637,722,674,2134,0
1658,485,681,482,2684,2
18,235,326,163,32,4
18,246,313,157,24,4
1512,619,749,661,2286,0
2334,659,835,1094,1651,1
2989,742,859,1164,1731,1
22,180,221,70,1,4
2434,575,721,1005,1490,1
367,351,321,290,338,4
1902,574,891,572,3144,0
2571,701,944,1194,2400,1
1666,452,650,435,2488,2
1466,439,666,444,2752,2
2144,528,644,826,1417,1
2838,715,918,1228,1999,1
1593,531,751,548,2790,2
1428,487,568,692,1170,1
20,267,316,158,29,4
2662,601,766,962,1693,1
2298,1322,1296,1400,1688,3
1491,440,583,406,2492,2
1445,557,621,740,1026,1
1295,413,517,588,1215,0
3062,738,1040,1642,2346,1
2685,1090,1346,1810,2240,1
31,327,331,157,75,4
8,201,215,47,1,4
1794,488,657,634,2050,0
14,183,193,88,22,4
1706,1042,1148,1288,1570,3
23,176,205,76,1,4
1472,461,664,510,2509,0
22,259,385,212,34,4
18,237,332,156,23,4
20,261,301,121,43,4
2226,1476,1616,1700,2150,3
1955,530,762,545,3046,2
2576,645,781,1050,1634,1
2270,514,674,899,1655,1
1738,590,765,558,2902,0
1845,879,905,1050,1276,3
26,254,377,209,39,4
2448,514,727,826,2077,1
1779,1026,1122,1234,1582,3
1927,1282,1300,1324,1799,3
27,223,239,97,68,4
32,294,405,210,54,4
1816,486,639,620,2014,0
1823,969,1034,1382,1612,3
22,240,327,162,36,4
2434,576,704,943,1544,1
1894,553,711,653,2096,0
1958,667,826,1018,1554,1
2215,576,679,898,1388,1
1761,486,641,466,2198,2
2989,709,825,1154,1712,1
1637,596,717,566,2666,2
1823,882,1152,1232,1438,3
1903,957,1196,1322,1607,3
1872,473,631,490,2332,2
21,208,199,75,27,4
1626,615,735,655,2248,0
1590,588,749,875,1501,0
1863,611,700,714,1917,0
20,272,377,211,34,4
2346,615,769,1050,1692,1
4389,2276,2714,3052,3277,3
18,242,331,148,22,4
2013,490,651,637,2084,0
4026,882,1086,1538,2392,0
23,295,375,209,34,4
1298,520,535,620,803,1
2891,738,881,1148,1714,1
1335,438,614,436,2334,2
15,272,312,124,47,4
1529,491,618,428,2388,2
19,239,324,165,27,4
1643,532,731,497,2806,2
2053,432,679,480,2702,0
26,240,243,94,55,4
156,377,343,274,376,4
34,279,400,216,47,4
1731,509,670,463,2448,2
4023,873,1102,1524,2410,0
2720,666,862,1154,1832,1
2406,553,742,866,2240,1
2490,1108,1162,1240,1273,3
41,178,203,84,1,4
2062,440,677,511,2705,0
2313,507,677,734,1909,1
2941,1514,1552,1712,1800,3
1958,716,841,1108,1635,1
30,227,233,101,62,4
26,283,286,137,59,4
2479,544,738,835,2134,1
177,417,520,327,357,4
1788,1252,1130,1248,1475,3
26,224,234,104,68,4
2274,539,700,756,2049,1
1544,511,679,440,2596,2
1628,511,972,659,3389,0
1678,414,559,404,2236,2
20,263,305,133,43,4
1442,523,739,537,2798,2
1847,1064,1230,1262,1566,3
2811,782,1064,1522,2232,1
329,639,788,759,696,4
1974,684,849,1000,1507,1
1974,901,1204,1544,1732,1
1644,551,675,610,2180,0
27,187,222,80,1,4
2404,545,705,800,1902,1
2162,1250,1650,1666,1974,3
2011,1080,1100,1500,1713,3
2465,577,768,882,2054,1
2231,557,646,833,1350,1
882,539,581,681,871,0
2242,729,982,1268,1774,1
2267,1470,1546,1656,1794,3
3013,759,903,1164,1809,1
1952,1212,1312,1502,1866,3
155,387,327,272,322,4
4197,2088,2802,3322,3430,3
3078,1586,1682,1902,2578,3
184,515,572,431,447,4
24,158,200,67,1,4
1728,447,598,567,1862,2
1467,428,505,554,988,0
1247,489,553,453,1966,2
23,229,229,100,69,4
14,196,192,90,22,4
3121,778,1074,1524,2438,1
2665,842,1034,1298,1916,1
1780,658,771,683,2268,0
140,390,479,346,337,4
3768,1830,2204,2618,2733,3
1294,483,635,457,2216,2
1465,524,658,438,2476,2
1949,557,691,642,2020,0
2609,662,894,1276,1936,1
1952,949,1102,1194,1538,3
1927,1090,1266,1280,1528,3
2551,536,671,883,1712,1
2191,974,1346,1318,1522,3
2366,570,734,1002,1770,1
3433,1908,2100,2278,2151,3
1459,528,650,478,2388,2
1661,417,593,435,2736,2
1710,398,562,500,2114,0
176,357,339,287,303,4
2320,653,810,1098,1608,1
16,200,214,61,8,4
1848,1122,1244,1450,1736,3
32,253,386,216,41,4
146,369,322,277,265,4
25,248,283,128,60,4
14,208,210,88,44,4
1865,1003,1198,1130,1528,3
3204,1860,2298,2480,2348,3
29,270,368,209,34,4
1910,580,706,703,1924,0
1342,355,475,570,1078,0
137,357,328,263,282,4
2352,489,648,749,1864,1
1673,412,568,515,2239,0
20,253,340,150,26,4
2003,1070,1328,1456,1625,3
2715,675,824,1118,1836,1
2339,594,716,990,1546,1
2473,716,937,1206,1708,1
2415,749,929,1158,1721,1
1552,503,727,471,2858,2
1418,458,553,397,2334,2
1837,660,797,808,2122,0
21,269,305,124,44,4
26,280,366,227,37,4
1722,1264,1434,1488,1570,3
1410,455,664,492,2944,2
1529,656,758,824,1326,0
1720,384,558,484,2150,0
19,247,337,161,25,4
2570,1340,1360,1372,1465,3
1589,439,572,421,2208,2
2769,709,896,1210,1884,1
2776,694,844,1136,1766,1
2243,1114,1268,1390,1561,3
3622,1676,2180,2338,2696,3
2269,542,705,991,1701,1
24,233,239,105,62,4
24,247,251,110,62,4
1491,401,551,417,2352,2
1398,450,592,584,1937,0
1697,491,704,519,2802,2
1750,446,692,421,3040,2
2916,822,982,1274,2014,1
1865,1116,1216,1212,1528,3
1750,430,617,452,2652,2
1845,528,695,644,2082,0
2884,853,1009,1338,2038,1
1436,433,664,459,2604,2
209,480,582,397,459,4
2445,539,719,881,1821,1
1841,515,728,530,2924,2
1855,965,1260,1142,1398,3
1964,1352,1538,1736,1968,3
1458,477,618,418,2522,2
1325,332,499,346,2092,2
2256,521,657,885,1655,1
4021,899,1062,1512,2365,0
1365,461,598,799,1195,0
1657,439,654,460,2500,2
25,243,317,157,24,4
1428,517,640,470,2564,2
1595,536,653,626,2182,0
1541,531,599,722,1006,1
2151,998,1100,1272,1318,3
863,861,841,940,1088,3
19,232,303,158,26,4
22,280,385,209,33,4
2620,641,844,1100,1889,1
23,230,248,115,61,4
2327,551,726,865,1927,1
1886,585,766,572,3199,0
2777,727,899,1248,1972,1
2116,440,753,446,3408,0
1629,407,592,444,2586,2
3254,2270,2382,2484,3113,3
2390,738,905,1176,1678,1
1544,653,712,803,1237,0
1673,432,590,538,2319,0
1901,1544,1728,1898,1964,3
3013,743,882,1164,1731,1
2420,543,734,805,2082,1
2105,1462,1706,1866,2254,3
1741,420,565,547,2145,0
148,250,221,176,225,4
1658,672,879,962,1792,3
1649,697,760,839,1346,0
27,288,388,213,43,4
1374,492,716,451,2556,2
23,253,375,211,34,4
889,523,572,675,953,0
16,203,208,85,55,4
19,251,324,155,27,4
2678,968,1332,1868,2157,1
1789,625,837,641,2598,0
26,218,219,113,61,4
21,206,198,92,51,4
1669,568,725,828,1560,0
1880,943,1054,1208,1698,3
1860,1188,1208,1418,1481,3
1643,487,708,520,2754,2
25,238,238,97,62,4
2293,542,621,827,1381,1
2461,539,753,871,2137,1
125,383,359,277,372,4
1514,482,656,412,2470,2
1606,390,523,385,1926,2
1690,532,696,597,2452,0
1393,403,529,397,1942,2
1376,548,579,681,963,1
2185,576,701,968,1449,1
3065,752,991,1208,2299,1
1691,563,709,615,2392,0
2512,602,730,1052,1521,1
1568,502,664,458,2436,2
27,232,233,110,66,4
24,260,310,158,27,4
3399,1518,1606,1708,1699,3
1450,443,665,422,2752,2
1601,529,689,587,2320,0
2794,698,977,1144,2595,0
209,501,558,423,427,4
2576,667,788,1052,1644,1
18,238,319,157,24,4
1334,348,486,329,1846,2
1902,1200,1522,1592,2071,3
2529,628,824,946,2215,1
31,316,331,149,74,4
1603,543,702,586,1898,0
1393,349,466,323,1720,2
1846,444,618,569,1986,2
1419,429,511,570,1019,0
1870,437,569,600,1976,0
1948,525,761,521,3278,2
1825,1132,1186,1268,1514,3
1931,476,578,432,2486,2
3560,853,1052,1436,2298,0
1701,727,894,902,1830,0
2297,542,706,915,1802,1
1410,386,550,373,2206,2
1345,378,517,330,1966,2
19,260,317,157,25,4
3154,2066,2210,2478,2568,3
2800,696,913,1238,1968,1
2428,600,722,1006,1531,1
1405,547,675,607,1790,0
20,254,321,147,26,4
2415,703,918,1164,1716,1
1245,384,515,347,2030,2
2243,545,647,854,1304,1
1872,440,666,422,2906,2
3195,665,899,1308,2066,1
1182,346,490,316,1642,2
20,188,158,77,1,4
27,183,214,64,1,4
19,253,305,157,26,4
2533,564,708,866,1930,1
19,259,321,157,28,4
2267,653,813,1112,1610,1
2443,886,1190,1626,1868,1
2000,597,832,532,3442,0
1731,565,794,592,3464,2
1621,406,545,392,2086,2
27,237,235,95,62,4
151,372,338,296,304,4
1787,524,681,500,2454,2
1529,678,742,777,1290,0
2474,577,774,855,2141,1
29,288,393,195,34,4
2588,817,1026,1330,1915,1
2313,466,649,695,1781,1
2476,532,705,895,1972,1
2175,1284,1472,1592,2055,3
2884,1176,1238,1190,1246,3
2144,733,954,1306,1687,1
26,278,375,213,39,4
1855,1058,1130,1392,1468,3
1597,537,688,573,2221,0
209,464,572,430,436,4
27,211,233,88,70,4
19,254,346,140,23,4
1248,497,588,436,2218,2
2640,1106,1166,1218,1339,3
1652,581,775,978,1500,0
2331,483,557,622,1144,0
4069,872,1102,1498,2420,0
1831,597,693,699,1738,0
1342,364,545,370,2160,2
1666,1298,1460,1668,1917,3
1893,571,791,531,3352,0
1597,560,686,591,2283,0
1479,517,571,691,957,1
2178,1202,1328,1540,1804,3
32,263,408,214,36,4
17,262,332,149,23,4
22,231,319,156,25,4
2031,1090,1230,1390,1995,3
2196,1476,1630,1688,2178,3
1982,613,839,517,3630,0
1649,372,556,434,2338,0
1826,960,1106,1180,1484,3
1644,550,669,612,2202,0
887,546,593,682,943,0
1763,495,635,505,2162,2
2320,734,963,1218,1672,1
1906,549,696,702,1884,0
19,257,312,158,27,4
2297,500,689,687,2144,1
2124,1004,1186,1276,1582,3
2013,507,653,637,2156,0
1502,587,688,815,1179,0
2457,747,947,1194,1685,1
19,250,336,155,31,4
2189,771,973,1306,1732,1
20,267,320,152,26,4
3264,932,1348,1816,2380,1
2420,502,726,800,2162,1
1863,547,691,629,1976,0
2358,542,731,861,1975,1
1506,502,551,631,878,1
1531,487,641,679,1526,0
26,278,382,210,40,4
32,300,381,215,46,4
2944,703,825,1074,1710,1
2332,486,669,727,1938,1
2425,738,919,1202,1692,1
1423,369,510,375,2226,2
2008,1324,1484,1518,1816,3
1325,318,447,330,1914,2
1640,536,678,616,2187,0
1895,553,682,660,2024,0
1402,510,673,919,1294,0
1451,500,612,472,2334,2
1657,439,639,442,2388,2
1101,606,688,761,1102,0
2333,589,683,926,1325,1
20,250,317,157,24,4
2161,521,613,811,1237,1
1739,637,771,685,2136,0
1337,369,462,329,1946,2
2273,666,821,1114,1628,1
1791,390,535,460,2352,0
2908,1200,1224,1302,1399,3
2934,662,825,1180,1996,1
1584,394,534,370,2222,2
1397,371,566,393,2124,2
1846,450,598,484,2200,2
1398,426,568,501,1979,0
21,210,193,56,1,4
140,398,486,333,329,4
1868,503,703,492,2744,2
1825,562,691,655,1998,0
1960,1394,1450,1366,1738,3
